"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS3A",0,0.723775353894618,0.937,0.47,0,"X6_CD4_5","RPS3A"
"RPL30",0,0.651406183957261,0.914,0.49,0,"X6_CD4_5","RPL30"
"SARAF",8.00880411908661e-321,1.10976554844417,0.789,0.422,2.40264123572598e-317,"X6_CD4_5","SARAF"
"RPL32",1.2553247201958e-315,0.565336192277123,0.922,0.487,3.76597416058741e-312,"X6_CD4_5","RPL32"
"TPT1",2.64567020005927e-315,0.601416578278488,0.919,0.469,7.93701060017782e-312,"X6_CD4_5","TPT1"
"TCF7",6.99640950365962e-280,1.09287218366114,0.786,0.37,2.09892285109789e-276,"X6_CD4_5","TCF7"
"RPS6",7.05944778429701e-271,0.544673603272926,0.887,0.472,2.1178343352891e-267,"X6_CD4_5","RPS6"
"RPL21",4.25071867275532e-266,0.550498062660536,0.865,0.479,1.2752156018266e-262,"X6_CD4_5","RPL21"
"LDHB",6.42912159868317e-262,0.876132174209592,0.811,0.417,1.92873647960495e-258,"X6_CD4_5","LDHB"
"RPL34",1.90888793320349e-254,0.512869280821472,0.876,0.482,5.72666379961048e-251,"X6_CD4_5","RPL34"
"RPS12",1.61813957317513e-243,0.416864734487963,0.902,0.486,4.8544187195254e-240,"X6_CD4_5","RPS12"
"RPS8",2.4567846679984e-233,0.546109737635294,0.828,0.481,7.37035400399521e-230,"X6_CD4_5","RPS8"
"RPS25",1.33652938432868e-231,0.48785009516615,0.836,0.487,4.00958815298605e-228,"X6_CD4_5","RPS25"
"LINC00861",1.19856360773237e-225,2.04912203263552,0.747,0.368,3.5956908231971e-222,"X6_CD4_5","LINC00861"
"RPLP2",3.69863216952685e-218,0.467060428046721,0.814,0.478,1.10958965085806e-214,"X6_CD4_5","RPLP2"
"FHIT",1.06027368679909e-214,3.49805040277366,0.477,0.135,3.18082106039726e-211,"X6_CD4_5","FHIT"
"GIMAP7",1.28490569830878e-210,1.15497325988247,0.76,0.459,3.85471709492633e-207,"X6_CD4_5","GIMAP7"
"NPM1",3.53090945471849e-201,0.723198498791603,0.756,0.439,1.05927283641555e-197,"X6_CD4_5","NPM1"
"IL6ST",1.61475619777753e-195,1.48738552604825,0.607,0.249,4.8442685933326e-192,"X6_CD4_5","IL6ST"
"PIK3IP1",2.66073470510663e-194,1.37867461119603,0.669,0.364,7.98220411531989e-191,"X6_CD4_5","PIK3IP1"
"RPL31",4.0673022442899e-192,0.618524186021234,0.738,0.445,1.22019067328697e-188,"X6_CD4_5","RPL31"
"TSHZ2",8.20691451467544e-189,4.30352469850742,0.459,0.132,2.46207435440263e-185,"X6_CD4_5","TSHZ2"
"RPS3",1.50216292844966e-186,0.40922283186977,0.817,0.511,4.50648878534899e-183,"X6_CD4_5","RPS3"
"RPS27",3.85150685137737e-184,0.417243240044684,0.834,0.536,1.15545205541321e-180,"X6_CD4_5","RPS27"
"RPL3",4.00004362648867e-181,0.397543073937149,0.841,0.515,1.2000130879466e-177,"X6_CD4_5","RPL3"
"RPL10",8.70610810146635e-181,0.389138193718397,0.806,0.498,2.61183243043991e-177,"X6_CD4_5","RPL10"
"LEF1",1.24268233316549e-179,2.90545554203516,0.615,0.274,3.72804699949648e-176,"X6_CD4_5","LEF1"
"RPL13",2.85259436711983e-175,0.283458398523261,0.856,0.515,8.55778310135949e-172,"X6_CD4_5","RPL13"
"EEF1A1",1.20101036267012e-174,0.349825614309822,0.835,0.501,3.60303108801035e-171,"X6_CD4_5","EEF1A1"
